InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
c3-highcpu-44,44.0,88.0,,,,europe-west4,europe-west4-a,1.99248,0.83477
c3-highcpu-44,44.0,88.0,,,,us-east1,us-east1-b,1.89605,0.7583
c3-highcpu-8,8.0,16.0,,,,europe-west4,europe-west4-a,0.36227,0.15178
c3-highcpu-8,8.0,16.0,,,,us-east1,us-east1-b,0.34474,0.13787
c3-highcpu-88,88.0,176.0,,,,europe-west4,europe-west4-a,3.98496,1.66954
c3-highcpu-88,88.0,176.0,,,,us-east1,us-east1-b,3.7921,1.51659
c3-highmem-176,176.0,1408.0,,,,europe-west4,europe-west4-a,13.02403,5.45741
c3-highmem-176,176.0,1408.0,,,,us-east1,us-east1-b,12.39427,4.95722
c3-highmem-22,22.0,176.0,,,,europe-west4,europe-west4-a,1.628,0.68218
c3-highmem-22,22.0,176.0,,,,us-east1,us-east1-b,1.54928,0.61965
c3-highmem-4,4.0,32.0,,,,europe-west4,europe-west4-a,0.296,0.12403
c3-highmem-4,4.0,32.0,,,,us-east1,us-east1-b,0.28169,0.11266
c3-highmem-44,44.0,352.0,,,,europe-west4,europe-west4-a,3.25601,1.36435
c3-highmem-44,44.0,352.0,,,,us-east1,us-east1-b,3.09857,1.2393
c3-highmem-8,8.0,64.0,,,,europe-west4,europe-west4-a,0.592,0.24806
c3-highmem-8,8.0,64.0,,,,us-east1,us-east1-b,0.56338,0.22533
c3-highmem-88,88.0,704.0,,,,europe-west4,europe-west4-a,6.51202,2.7287
c3-highmem-88,88.0,704.0,,,,us-east1,us-east1-b,6.19714,2.47861
c3-standard-176,176.0,704.0,,,,europe-west4,europe-west4-a,9.65462,4.04518
c3-standard-176,176.0,704.0,,,,us-east1,us-east1-b,9.18755,3.67453
c3-standard-176-lssd,176.0,704.0,,,,europe-west4,europe-west4-a,9.65462,4.04518
c3-standard-176-lssd,176.0,704.0,,,,us-east1,us-east1-b,9.18755,3.67453
c3-standard-22,22.0,88.0,,,,europe-west4,europe-west4-a,1.20683,0.50565
c3-standard-22,22.0,88.0,,,,us-east1,us-east1-b,1.14844,0.45932
c3-standard-22-lssd,22.0,88.0,,,,europe-west4,europe-west4-a,1.20683,0.50565
c3-standard-22-lssd,22.0,88.0,,,,us-east1,us-east1-b,1.14844,0.45932
c3-standard-4,4.0,16.0,,,,europe-west4,europe-west4-a,0.21942,0.09194
c3-standard-4,4.0,16.0,,,,us-east1,us-east1-b,0.20881,0.08351
c3-standard-4-lssd,4.0,16.0,,,,europe-west4,europe-west4-a,0.21942,0.09194
c3-standard-4-lssd,4.0,16.0,,,,us-east1,us-east1-b,0.20881,0.08351
c3-standard-44,44.0,176.0,,,,europe-west4,europe-west4-a,2.41366,1.0113
c3-standard-44,44.0,176.0,,,,us-east1,us-east1-b,2.29689,0.91863
c3-standard-44-lssd,44.0,176.0,,,,europe-west4,europe-west4-a,2.41366,1.0113
c3-standard-44-lssd,44.0,176.0,,,,us-east1,us-east1-b,2.29689,0.91863
c3-standard-8,8.0,32.0,,,,europe-west4,europe-west4-a,0.43885,0.18387
c3-standard-8,8.0,32.0,,,,us-east1,us-east1-b,0.41762,0.16702
c3-standard-8-lssd,8.0,32.0,,,,europe-west4,europe-west4-a,0.43885,0.18387
c3-standard-8-lssd,8.0,32.0,,,,us-east1,us-east1-b,0.41762,0.16702
c3-standard-88,88.0,352.0,,,,europe-west4,europe-west4-a,4.82731,2.02259
c3-standard-88,88.0,352.0,,,,us-east1,us-east1-b,4.59378,1.83726
c3-standard-88-lssd,88.0,352.0,,,,europe-west4,europe-west4-a,4.82731,2.02259
c3-standard-88-lssd,88.0,352.0,,,,us-east1,us-east1-b,4.59378,1.83726
e2-highcpu-16,16.0,16.0,,,,europe-west4,europe-west4-a,0.4357,0.17341
e2-highcpu-16,16.0,16.0,,,,us-east1,us-east1-b,0.39576,0.11873
e2-highcpu-2,2.0,2.0,,,,europe-west4,europe-west4-a,0.05446,0.02168
e2-highcpu-2,2.0,2.0,,,,us-east1,us-east1-b,0.04947,0.01484
e2-highcpu-32,32.0,32.0,,,,europe-west4,europe-west4-a,0.87141,0.34682
e2-highcpu-32,32.0,32.0,,,,us-east1,us-east1-b,0.79152,0.23746
e2-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-a,0.10893,0.04335
e2-highcpu-4,4.0,4.0,,,,us-east1,us-east1-b,0.09894,0.02968
e2-highcpu-8,8.0,8.0,,,,europe-west4,europe-west4-a,0.21785,0.0867
e2-highcpu-8,8.0,8.0,,,,us-east1,us-east1-b,0.19788,0.05936
e2-highmem-16,16.0,128.0,,,,europe-west4,europe-west4-a,0.79614,0.31654
e2-highmem-16,16.0,128.0,,,,us-east1,us-east1-b,0.7232,0.21696
e2-highmem-2,2.0,16.0,,,,europe-west4,europe-west4-a,0.09952,0.03957
e2-highmem-2,2.0,16.0,,,,us-east1,us-east1-b,0.0904,0.02712
e2-highmem-4,4.0,32.0,,,,europe-west4,europe-west4-a,0.19903,0.07914
e2-highmem-4,4.0,32.0,,,,us-east1,us-east1-b,0.1808,0.05424
e2-highmem-8,8.0,64.0,,,,europe-west4,europe-west4-a,0.39807,0.15827
e2-highmem-8,8.0,64.0,,,,us-east1,us-east1-b,0.3616,0.10848
e2-medium,2.0,4.0,,,,europe-west4,europe-west4-a,0.0609,0.02423
e2-medium,2.0,4.0,,,,us-east1,us-east1-b,0.05532,0.0166
e2-micro,2.0,1.0,,,,europe-west4,europe-west4-a,0.05124,0.0204
e2-micro,2.0,1.0,,,,us-east1,us-east1-b,0.04655,0.01396
e2-small,2.0,2.0,,,,europe-west4,europe-west4-a,0.05446,0.02168
e2-small,2.0,2.0,,,,us-east1,us-east1-b,0.04947,0.01484
e2-standard-16,16.0,64.0,,,,europe-west4,europe-west4-a,0.59018,0.23475
e2-standard-16,16.0,64.0,,,,us-east1,us-east1-b,0.53609,0.16083
e2-standard-2,2.0,8.0,,,,europe-west4,europe-west4-a,0.07377,0.02934
e2-standard-2,2.0,8.0,,,,us-east1,us-east1-b,0.06701,0.0201
e2-standard-32,32.0,128.0,,,,europe-west4,europe-west4-a,1.18035,0.4695
e2-standard-32,32.0,128.0,,,,us-east1,us-east1-b,1.07218,0.32165
e2-standard-4,4.0,16.0,,,,europe-west4,europe-west4-a,0.14754,0.05869
e2-standard-4,4.0,16.0,,,,us-east1,us-east1-b,0.13402,0.04021
e2-standard-8,8.0,32.0,,,,europe-west4,europe-west4-a,0.29509,0.11738
e2-standard-8,8.0,32.0,,,,us-east1,us-east1-b,0.26805,0.08041
f1-micro,1.0,0.599609375,,,,europe-west4,europe-west4-a,0.0084,0.00336
f1-micro,1.0,0.599609375,,,,us-east1,us-east1-b,0.0076,0.0035
g1-small,1.0,1.69921875,,,,europe-west4,europe-west4-a,0.0283,0.00924
g1-small,1.0,1.69921875,,,,us-east1,us-east1-b,0.0257,0.00665
g2-standard-12,12.0,48.0,,,,europe-west4,europe-west4-a,0.46286,0.19399
g2-standard-12,12.0,48.0,,,,us-east1,us-east1-b,0.44038,0.17621
g2-standard-16,16.0,64.0,,,,europe-west4,europe-west4-a,0.61714,0.25866
g2-standard-16,16.0,64.0,,,,us-east1,us-east1-b,0.58717,0.23494
g2-standard-24,24.0,96.0,,,,europe-west4,europe-west4-a,0.92571,0.38798
g2-standard-24,24.0,96.0,,,,us-east1,us-east1-b,0.88075,0.35242
g2-standard-32,32.0,128.0,,,,europe-west4,europe-west4-a,1.23429,0.51731
g2-standard-32,32.0,128.0,,,,us-east1,us-east1-b,1.17434,0.46989
g2-standard-4,4.0,16.0,,,,europe-west4,europe-west4-a,0.15429,0.06466
g2-standard-4,4.0,16.0,,,,us-east1,us-east1-b,0.14679,0.05874
