InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
a3-edgegpu-8g-nolssd,208.0,1872.0,,,,us-west1,us-west1-a,9.46006,2.17547
a3-edgegpu-8g-nolssd,208.0,1872.0,,,,us-west1,us-west1-b,9.46006,2.17547
a3-edgegpu-8g-nolssd,208.0,1872.0,,,,us-west4,us-west4-a,10.65487,1.91776
a3-highgpu-1g,26.0,234.0,,,,us-central1,us-central1-a,1.18251,0.27193
a3-highgpu-1g,26.0,234.0,,,,us-central1,us-central1-b,1.18251,0.27193
a3-highgpu-1g,26.0,234.0,,,,us-central1,us-central1-c,1.18251,0.27193
a3-highgpu-1g,26.0,234.0,,,,us-east4,us-east4-a,1.18251,0.21294
a3-highgpu-1g,26.0,234.0,,,,us-east4,us-east4-b,1.18251,0.21294
a3-highgpu-1g,26.0,234.0,,,,us-east4,us-east4-c,1.18251,0.21294
a3-highgpu-1g,26.0,234.0,,,,us-east5,us-east5-a,1.33186,0.23972
a3-highgpu-1g,26.0,234.0,,,,us-west1,us-west1-a,1.18251,0.27193
a3-highgpu-1g,26.0,234.0,,,,us-west1,us-west1-b,1.18251,0.27193
a3-highgpu-1g,26.0,234.0,,,,us-west4,us-west4-a,1.33186,0.23972
a3-highgpu-2g,52.0,468.0,,,,us-central1,us-central1-a,2.36502,0.54387
a3-highgpu-2g,52.0,468.0,,,,us-central1,us-central1-b,2.36502,0.54387
a3-highgpu-2g,52.0,468.0,,,,us-central1,us-central1-c,2.36502,0.54387
a3-highgpu-2g,52.0,468.0,,,,us-east4,us-east4-a,2.36502,0.42588
a3-highgpu-2g,52.0,468.0,,,,us-east4,us-east4-b,2.36502,0.42588
a3-highgpu-2g,52.0,468.0,,,,us-east4,us-east4-c,2.36502,0.42588
a3-highgpu-2g,52.0,468.0,,,,us-east5,us-east5-a,2.66372,0.47944
a3-highgpu-2g,52.0,468.0,,,,us-west1,us-west1-a,2.36502,0.54387
a3-highgpu-2g,52.0,468.0,,,,us-west1,us-west1-b,2.36502,0.54387
a3-highgpu-2g,52.0,468.0,,,,us-west4,us-west4-a,2.66372,0.47944
a3-highgpu-4g,104.0,936.0,,,,us-central1,us-central1-a,4.73003,1.08774
a3-highgpu-4g,104.0,936.0,,,,us-central1,us-central1-b,4.73003,1.08774
a3-highgpu-4g,104.0,936.0,,,,us-central1,us-central1-c,4.73003,1.08774
