Tag,Region,OS,OSVersion,ImageId,CreationDate
skypilot:ubuntu-2004,KOREA-WEST-1-SCP-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o2bBh,20230331
skypilot:ubuntu-2004,KOREA-WEST-1-SCP-B002,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o2bBh,20230331
skypilot:ubuntu-2004,KOREA-WEST-2-SCP-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o3bBh,20230331
skypilot:ubuntu-2004,KOREA-EAST-1-SCP-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o4bBh,20230331
skypilot:ubuntu-2004,KOREA-WEST-MAZ-SCP-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o5bBh,20230331
skypilot:ubuntu-2004,KOREA_WEST-1-SWN-FIN-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o6bBh,20230331
skypilot:ubuntu-2004,KOREA-EAST-1-CCN-FIN-B001,ubuntu,20.04,IMAGE-dW-daWg-sKnGu7v28o7bBh,20230331
skypilot:gpu-ubuntu-1804,KOREA-WEST-1-SCP-B001,ubuntu,18.04,IMAGE-FIN-B001-2e0a6d2872970048192,20230331
skypilot:gpu-ubuntu-1804,KOREA_WEST-1-SWN-FIN-B001,ubuntu,18.04,IMAGE-FIN-B001-2e0a6d2872970048192,20230331
