InstanceType,AcceleratorName,AcceleratorCount,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
,tpu-v2-8,1,0,tpu-v2-8,4.5,1.35,us-central1,us-central1-b
,tpu-v2-8,1,0,tpu-v2-8,4.5,1.35,us-central1,us-central1-c
,tpu-v2-8,1,0,tpu-v2-8,4.5,1.35,us-central1,us-central1-f
,tpu-v2-8,1,0,tpu-v2-8,4.95,1.485,europe-west4,europe-west4-a
,tpu-v2-8,1,0,tpu-v2-8,5.22,1.566,asia-east1,asia-east1-c
,tpu-v2-32,1,0,tpu-v2-32,24.0,,us-central1,us-central1-a
,tpu-v2-32,1,0,tpu-v2-32,24.0,,europe-west4,europe-west4-a
,tpu-v2-128,1,0,tpu-v2-128,96.0,,us-central1,us-central1-a
,tpu-v2-128,1,0,tpu-v2-128,96.0,,europe-west4,europe-west4-a
,tpu-v2-256,1,0,tpu-v2-256,192.0,,us-central1,us-central1-a
,tpu-v2-256,1,0,tpu-v2-256,192.0,,europe-west4,europe-west4-a
,tpu-v2-512,1,0,tpu-v2-512,384.0,,us-central1,us-central1-a
,tpu-v2-512,1,0,tpu-v2-512,384.0,,europe-west4,europe-west4-a
,tpu-v3-8,1,0,tpu-v3-8,8.0,2.4,us-central1,us-central1-a
,tpu-v3-8,1,0,tpu-v3-8,8.0,2.4,us-central1,us-central1-b
,tpu-v3-8,1,0,tpu-v3-8,8.0,2.4,us-central1,us-central1-f
,tpu-v3-8,1,0,tpu-v3-8,8.0,2.4,us-east1,us-east1-d
,tpu-v3-8,1,0,tpu-v3-8,8.8,2.64,europe-west4,europe-west4-a
,tpu-v3-32,1,0,tpu-v3-32,32.0,9.6,europe-west4,europe-west4-a
,tpu-v3-32,1,0,tpu-v3-32,32.0,9.6,us-east1,us-east1-d
,tpu-v3-64,1,0,tpu-v3-64,64.0,19.2,europe-west4,europe-west4-a
,tpu-v3-128,1,0,tpu-v3-128,128.0,38.4,europe-west4,europe-west4-a
,tpu-v3-256,1,0,tpu-v3-256,256.0,76.8,europe-west4,europe-west4-a
,tpu-v3-512,1,0,tpu-v3-512,512.0,153.6,europe-west4,europe-west4-a
,tpu-v3-1024,1,0,tpu-v3-1024,1024.0,307.2,europe-west4,europe-west4-a
,tpu-v3-2048,1,0,tpu-v3-2048,2048.0,614.4,europe-west4,europe-west4-a
