InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
horizon_H100x4,H100,4.0,80.0,800,7.8,blonduos-iceland-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 819200}}], 'TotalGpuMemoryInMiB': 819200}",
horizon_H100x2,H100,2.0,40.0,400,3.9,blonduos-iceland-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 409600}}], 'TotalGpuMemoryInMiB': 409600}",
horizon_H100x8,H100,8.0,160.0,1536,15.6,blonduos-iceland-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1572864}}], 'TotalGpuMemoryInMiB': 1572864}",
paperspace_H100,H100,1.0,16.0,268,5.99,newyork-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 274432}}], 'TotalGpuMemoryInMiB': 274432}",
cudo_A40x4,A40,4.0,24.0,96,1.8,stockholm-sweden-2,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
cudo_A40x4,A40,4.0,24.0,96,1.8,montreal-canada-4,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
cudo_A40x8,A40,8.0,48.0,192,3.6,montreal-canada-4,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
cudo_A40x8,A40,8.0,48.0,192,3.6,stockholm-sweden-2,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
cudo_A5000,A5000,1.0,6.0,24,0.49,montreal-canada-4,"{'Gpus': [{'Name': 'A5000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
cudo_L40Sx2,L40S,2.0,24.0,96,2.96,melbourne-australia-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
cudo_A6000x4,A6000,4.0,24.0,96,2.34,stockholm-sweden-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
hyperstack_A4000x10,A4000,10.0,56.0,215,1.5,oslo-norway-1,"{'Gpus': [{'Name': 'A4000', 'Manufacturer': 'NVIDIA', 'Count': 10.0, 'MemoryInfo': {'SizeInMiB': 220160}}], 'TotalGpuMemoryInMiB': 220160}",
cudo_L40S,L40S,1.0,12.0,48,1.48,melbourne-australia-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
cudo_L40Sx4,L40S,4.0,48.0,192,5.91,melbourne-australia-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
cudo_A5000x2,A5000,2.0,12.0,48,0.97,montreal-canada-4,"{'Gpus': [{'Name': 'A5000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
cudo_A5000x8,A5000,8.0,48.0,192,3.62,montreal-canada-4,"{'Gpus': [{'Name': 'A5000', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
cudo_A40x2,A40,2.0,12.0,48,1.05,montreal-canada-4,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
